CSA,Population,Median_Income,Unemployed,Families_in_Poverty,Bachelors_degree,Juvenile_Arrest_Rate,Homicide_Incidence_Rate,Life_Expectancy,Top_causes_of_death
Allendale/Irvington/S. Hilton,16217,33112,0.15,0.15,0.09,127.6,22.2,68.5,"Heart Disease, Cancer, Stroke, Homicide"
Beechfield/Ten Hills/West Hills,12137,47730,0.09,0.12,0.2,66.8,8.2,72.7,"Heart Disease, Cancer, Stroke, Homicide"
Belair-Edison,17430,43769,0.14,0.09,0.63,98.2,24.1,70.9,"Heart Disease, Cancer, Homicide, Stroke"
Brooklyn/Curtis Bay/Hawkins Point,14243,32296,0.1,0.2,0.06,97.6,26,69.6,"Heart Disease, Cancer, Respiratory Disease, Drug-induced Deaths"
Canton,8100,77222,0.03,0.02,0.59,179.3,2.5,76.9,"Heart Disease, Cancer, Respiratory Disease, Stroke"
Cedonia/Frankford,23557,38144,0.11,0.13,0.15,84,6.8,71.9,"Heart Disease, Cancer, Stroke, Respiratory Disease"
Cherry Hill,8202,19183,0.28,0.45,0.07,149,35.4,67.8,"Heart Disease, Cancer, Stroke, HIV/AIDS"
Chinquapin Park/Belvedere,7701,43368,0.09,0.05,0.3,76.8,10.4,75.1,"Heart Disease, Cancer, Stroke, Respiratory Disease"
Claremont/Armistead,8230,30606,0.08,0.13,0.08,61.5,14.6,72.3,"Heart Disease, Cancer, Stroke, Respiratory Disease"
Clifton-Berea,9874,24696,0.2,0.18,0.07,326.5,61.8,64.9,"Heart Disease, Cancer, Homicide, Stroke"
Cross-Country/Cheswolde,13029,58143,0.06,0.08,0.52,22.1,0,82.9,"Heart Disease, Cancer, Stroke, Injury"
Dickeyville/Franklintown,4097,31681,0.1,0.18,0.13,36.7,17.1,72.8,"Heart Disease, Cancer, Homicide, Stroke"
Dorchester/Ashburton,11794,39533,0.11,0.12,0.21,122.5,15.3,72.4,"Heart Disease, Cancer, Stroke, Septicemia (Blood Poisoning)"
Downtown/Seton Hill,6446,36632,0.05,0.22,0.59,906.7,34.1,63.9,"Heart Disease, Cancer, Stroke, HIV/AIDS"
Edmonson Village,7900,34814,0.12,0.13,0.09,125.4,19,71.6,"Heart Disease, Cancer, Stroke, HIV/AIDS"
Fells Point,9039,62185,0.04,0.11,0.57,129.4,8.9,74.3,"Heart Disease, Cancer, Respiratory Disease, Stroke"
Forest Park/Walbrook,9841,33512,0.12,0.19,0.19,90.8,27.4,72.1,"Heart Disease, Cancer, Stroke, HIV/AIDS"
Glen-Falstaff,14916,37395,0.09,0.15,0.32,59.2,10.7,77.6,"Heart Disease, Cancer, Stroke, Homicide"
Greater Charles Village/Barclay,16391,33258,0.07,0.11,0.49,257.2,20.7,72.7,"Heart Disease, Cancer, Diabetes, Stroke"
Greater Govans,10680,37047,0.15,0.12,0.14,104.6,15.9,73.9,"Heart Disease, Cancer, HIV/AIDS, Stroke"
Greater Mondawmin,9339,34438,0.1,0.12,0.14,234.8,31.1,69.6,"Heart Disease, Cancer, Stroke, HIV/AIDS"
Greater Roland Park/Poplar,7322,90492,0.03,0,0.75,17.8,4.1,83.1,"Heart Disease, Cancer, Stroke, Injury"
Greater Rosemont,19258,28007,0.16,0.21,0.07,182.1,48.3,67,"Heart Disease, Cancer, Homicide, Stroke"
Greenmount East,9262,20708,0.2,0.38,0.08,280.3,39.9,65.9,"Heart Disease, Cancer, HIV/AIDS, Stroke"
Hamilton,12946,51668,0.07,0.06,0.28,62.1,3.1,74.3,"Heart Disease, Cancer, Respiratory Disease, Stroke"
Harford/Echodale,16895,51760,0.08,0.05,0.22,71.5,8.9,76.1,"Heart Disease, Cancer, Stroke, Diabetes"
Highlandtown,7250,49680,0.1,0.08,0.33,206.1,9.7,74,"Heart Disease, Cancer, Respiratory Disease, Diabetes"
Howard Park/West Arlington,10871,36622,0.11,0.15,0.18,69,15.6,72.9,"Heart Disease, Cancer, Stroke, HIV/AIDS"
Inner Harbor/Federal Hill,12855,72692,0.03,0.09,0.69,264.7,6.2,77.1,"Heart Disease, Cancer, Respiratory Disease, Stroke"
Jonestown/Oldtown,10841,20515,0.15,0.27,0.18,187.5,29.5,71.4,"Heart Disease, Cancer, HIV/AIDS, Stroke"
Lauraville,12273,55122,0.13,0.04,0.32,51.5,15.5,74.3,"Heart Disease, Cancer, Stroke, Respiratory Disease"
Loch Raven,15358,43530,0.13,0.05,0.22,51,10.4,75,"Heart Disease, Cancer, Stroke, Septicemia (Blood Poisoning)"
Madison/East End,7781,30389,0.14,0.28,0.04,280.2,46.3,64.8,"Heart Disease, Cancer, Homicide, Stroke"
Medfield/Hampden/Woodberry,17432,47759,0.06,0.08,0.43,117,10.9,74.2,"Heart Disease, Cancer, Stroke, Respiratory Disease"
Midtown,15685,33303,0.06,0.11,0.53,249.1,11.5,75.5,"Heart Disease, Cancer, HIV/AIDS, Stroke"
Midway/Coldstream,9603,30068,0.21,0.23,0.05,220.2,45.8,63.7,"Heart Disease, Cancer, Homicide, HIV/AIDS"
Morrell Park/Violetville,9095,39931,0.06,0.11,0.08,54.9,4.4,70.8,"Heart Disease, Cancer, Respiratory Disease, Drug-induced Deaths"
Mt. Washington/Coldspring,5183,72348,0.05,0.01,0.68,88.9,3.9,79.4,"Heart Disease, Cancer, Stroke, Diabetes"
